# Exchange addresses from proof-of-reserves, blockchain forensics, address clustering, and rich list labels
# Generated: 2026-03-11
#
# Sources:
#   walletexplorer-cluster: Public address clustering data (Bitfinex, OKCoin, Bitcoin.de, CoinJar, Xapo, BitPay, Korbit, Bitso, CaVirtEx, Cryptsy, BleuTrade, BTCC)
#   bitinfocharts-richlist: Public rich list labeled addresses (Gate.io, OKX, BitMEX, Crypto.com)
#   blockchain-forensics: Known forensic addresses from KuCoin 2020 hack, Bitfinex 2016 hack recovery
#
address,entity,source
33hfnAXusAqAECmup7vz4xcduYzL4sadKK,Bitcoin.de,walletexplorer-cluster
33inC9M8CFH9eUhZModeNrEukSP61nWFKp,Bitcoin.de,walletexplorer-cluster
33jY477XPfh5JMkKhiq796yhHb97SrpFJB,Bitcoin.de,walletexplorer-cluster
34B9qezStgpdrcou1gSB9BVbuM1s9gHjtj,Bitcoin.de,walletexplorer-cluster
34QqziuZ8FZFUbhNa6MEHVwAcHLnCTXgTa,Bitcoin.de,walletexplorer-cluster
34eyDsZTjNJDG94Lc15DAUiEGALJbZQco3,Bitcoin.de,walletexplorer-cluster
34ryCaXdHBXAYNoWx9uarGe2BRv9aHKDAf,Bitcoin.de,walletexplorer-cluster
34yqz4xeg2rU97XZco1pxoUL58hSiWzc5e,Bitcoin.de,walletexplorer-cluster
36mbcJVoPwqDEdKNNAvefB6jcEGX8KYEW7,Bitcoin.de,walletexplorer-cluster
37g4L1sDNahPL7vQKG17YCXBinMt7QcmqL,Bitcoin.de,walletexplorer-cluster
37nxRAXixoS9KXqEFuhiCKYCQB89Gv2DDV,Bitcoin.de,walletexplorer-cluster
38wtfzWoxkr2quwSAMm18Xifygz2hWKTUn,Bitcoin.de,walletexplorer-cluster
39HyDsA97QjviwWHFstGkb8U9p4kZT3fZ1,Bitcoin.de,walletexplorer-cluster
39LAyy77En7ST9ygAXYSd2YQH7kYNWHTnq,Bitcoin.de,walletexplorer-cluster
39kUREkPTxfdBpJz7FGZzwEXqNZHuT2Gtx,Bitcoin.de,walletexplorer-cluster
39kmRMqS5BAwQii4AggoxMDJ6riwcXAqVp,Bitcoin.de,walletexplorer-cluster
3A7mKFvogic4CP17tyy3JB9ac28Jg292pt,Bitcoin.de,walletexplorer-cluster
3AnALWk4uDK2PJcykaZTnuENUA3jWQ3kzi,Bitcoin.de,walletexplorer-cluster
3B372xLfWD3j3BmwTud6LdTySGSTFJ71oe,Bitcoin.de,walletexplorer-cluster
3BZztLpXkwq7Y7tHgBuTaF3uicZQibkGiF,Bitcoin.de,walletexplorer-cluster
3CJtkTcEaCND6qHdAwdpAFufgWcQ1AC3kE,Bitcoin.de,walletexplorer-cluster
3CQLVeVPNvYJegEhDF79MQcWCVMA1qbZ9K,Bitcoin.de,walletexplorer-cluster
3CeKGe2zU8PcwR5LkffQ2KVJ3DBjvxy9Um,Bitcoin.de,walletexplorer-cluster
3CtY6YAuo4c4jvW8GAL9VgqR8wHj2ehHkB,Bitcoin.de,walletexplorer-cluster
3D5xvErYoZwgJez3ZH6pwyKyhqxaYgDahC,Bitcoin.de,walletexplorer-cluster
3DQ1SCNVCXf5SdXhm3WiassYLhDybfyv6S,Bitcoin.de,walletexplorer-cluster
3DdzHGif9XUbFBFBzyngmZv84VJTdBMpnn,Bitcoin.de,walletexplorer-cluster
3F5EBhK9aDsKdrR9iCASsNPKTEhFzrx6MD,Bitcoin.de,walletexplorer-cluster
3FkybPjv9WJCTAc3SXR79uiAy5nDcJUB4A,Bitcoin.de,walletexplorer-cluster
3GgyrGSjxyJM6ZtwPEnMuGWdT9pJ7tCXJE,Bitcoin.de,walletexplorer-cluster
3H2WdfJV3J3wdhT91q68bR2QSvcuYnFygL,Bitcoin.de,walletexplorer-cluster
3HCzPmzmqU3ZMQeP43E4uj2Rw9vSRybNCH,Bitcoin.de,walletexplorer-cluster
3HZsgGApFEigC6b9Lj9fRX5ztJhAhyoUxR,Bitcoin.de,walletexplorer-cluster
3HrgqQ2H54woTHC8XuGKMA7pWb1yvQZFdn,Bitcoin.de,walletexplorer-cluster
3J3kQ6w2tA1ZFpduBKcQwLg1x4qYW4Dt5r,Bitcoin.de,walletexplorer-cluster
3J83empZHbLGYEPX7kZyoj3siTcWVivCJQ,Bitcoin.de,walletexplorer-cluster
3JDNp3k53E6rUYE5KM6MbS5ut9eX3zJjkE,Bitcoin.de,walletexplorer-cluster
3JbNs6fDkBbxWWz7rzEETZq5ua26J1ycn1,Bitcoin.de,walletexplorer-cluster
3KLSVQgg5t5n5LWJ51yMemmbzVq9bcYKB2,Bitcoin.de,walletexplorer-cluster
3KPHQTi8Rj7YTpSip2Ex4sWdPygAs6Qmpz,Bitcoin.de,walletexplorer-cluster
3KhAks2JFoNMeb4E7dtx1c3vqDoUEic4wb,Bitcoin.de,walletexplorer-cluster
3KmE8f6jw4wy44xU2BPoptgf8veT4pjftv,Bitcoin.de,walletexplorer-cluster
3KpakYqkqS6xybiwFKQVXJ5pFR717hWqqZ,Bitcoin.de,walletexplorer-cluster
3LNmUzJik2n9o49iacagLWZ6cqfyF7t7Zi,Bitcoin.de,walletexplorer-cluster
3LUvYcJ8AEU1N6LbfFvw1psaV94U5VhS3Q,Bitcoin.de,walletexplorer-cluster
3Lpe5ueCKu8sWYKsDhSUdqTuF1q5oBMHAV,Bitcoin.de,walletexplorer-cluster
3MANMYQYwpQtuRditSdhM5tgLapJQumPbZ,Bitcoin.de,walletexplorer-cluster
